news_headline,news_article,news_category,full_text,clean_text
AI tool found to hide data in image to 'cheat' on next task,"A study by Stanford University and Google revealed that artificial intelligence (AI) tool CycleGAN was hiding information to cheat on another task it was assigned to do later. Information about a source image was hidden ""into the images it generates in a nearly imperceptible, high-frequency signal"". ""Cyclic consistency loss causes CycleGAN to be...vulnerable to adversarial attacks,"" it added.",technology,"AI tool found to hide data in image to 'cheat' on next task. A study by Stanford University and Google revealed that artificial intelligence (AI) tool CycleGAN was hiding information to cheat on another task it was assigned to do later. Information about a source image was hidden ""into the images it generates in a nearly imperceptible, high-frequency signal"". ""Cyclic consistency loss causes CycleGAN to be...vulnerable to adversarial attacks,"" it added.",ai tool found hide data image cheat next task study stanford university google revealed artificial intelligence ai tool cyclegan hiding information cheat another task assigned later information source image hidden images generates nearly imperceptible highfrequency signal cyclic consistency loss causes cyclegan vulnerable adversarial attacks added
Google wins US approval for radar-based hand motion sensor,"US' Federal Communications Commission (FCC) in an order on Monday said it would allow Google to operate its radar-based hand motion sensor, Project Soli. The sensor, which can be embedded in wearables, phones and computers, uses radio frequencies to track human hand gestures. FCC said the sensor could benefit users with mobility or speech impairments.",technology,"Google wins US approval for radar-based hand motion sensor. US' Federal Communications Commission (FCC) in an order on Monday said it would allow Google to operate its radar-based hand motion sensor, Project Soli. The sensor, which can be embedded in wearables, phones and computers, uses radio frequencies to track human hand gestures. FCC said the sensor could benefit users with mobility or speech impairments.",google wins us approval radarbased hand motion sensor us federal communications commission fcc order monday said would allow google operate radarbased hand motion sensor project soli sensor embedded wearables phones computers uses radio frequencies track human hand gestures fcc said sensor could benefit users mobility speech impairments
Google Assistant adds feature to let US users make donations,"Google has added a new feature to its Assistant which lets users in the US make donations to charitable organisations through it using commands like, ""Ok Google, make a donation"". Users can pick a monetary amount and an organisation of their choice to make their donation and would have to enable payments option to use the new feature.",technology,"Google Assistant adds feature to let US users make donations. Google has added a new feature to its Assistant which lets users in the US make donations to charitable organisations through it using commands like, ""Ok Google, make a donation"". Users can pick a monetary amount and an organisation of their choice to make their donation and would have to enable payments option to use the new feature.",google assistant adds feature let us users make donations google added new feature assistant lets users us make donations charitable organisations using commands like ok google make donation users pick monetary amount organisation choice make donation would enable payments option use new feature
20 Android apps sending sensitive data to Facebook: Study,"According to a Privacy International study, at least 20 of 34 popular Android apps like TripAdvisor and Skyscanner send sensitive information to Facebook without users' permission. The shared information includes analytics data sent on launching the app like Android users' unique ID. This follows a previous report that said Facebook collected sensitive information from dating apps like Tinder.",technology,"20 Android apps sending sensitive data to Facebook: Study. According to a Privacy International study, at least 20 of 34 popular Android apps like TripAdvisor and Skyscanner send sensitive information to Facebook without users' permission. The shared information includes analytics data sent on launching the app like Android users' unique ID. This follows a previous report that said Facebook collected sensitive information from dating apps like Tinder.",android apps sending sensitive data facebook study according privacy international study least popular android apps like tripadvisor skyscanner send sensitive information facebook without users permission shared information includes analytics data sent launching app like android users unique id follows previous report said facebook collected sensitive information dating apps like tinder
Accusations couldn't be further from truth: FB on NYT report,"
Facebook in a blog post has said that the accusations made against it in a New York Times (NYT) report could not be further from the truth. The report accused Facebook's moderation team of relying on guidelines of over 1,400 pages which contained 'inaccurate' information. Facebook further said the debate on moderation should be based on facts and not mischaracterisations.",technology,"Accusations couldn't be further from truth: FB on NYT report. 
Facebook in a blog post has said that the accusations made against it in a New York Times (NYT) report could not be further from the truth. The report accused Facebook's moderation team of relying on guidelines of over 1,400 pages which contained 'inaccurate' information. Facebook further said the debate on moderation should be based on facts and not mischaracterisations.",accusations could not truth fb nyt report facebook blog post said accusations made new york times nyt report could not truth report accused facebooks moderation team relying guidelines pages contained inaccurate information facebook said debate moderation based facts not mischaracterisations
US judge dismisses face recognition tech suit against Google,"A US judge dismissed a 2016 lawsuit which alleged Google violated Illinois state law by using facial recognition technology through Google Photos to collect users' biometric data without their permission. The judge supported the dismissal citing a lack of ""concrete injuries"". Illinois state law requires companies to obtain explicit permission from people to make biometric scans of their bodies.",technology,"US judge dismisses face recognition tech suit against Google. A US judge dismissed a 2016 lawsuit which alleged Google violated Illinois state law by using facial recognition technology through Google Photos to collect users' biometric data without their permission. The judge supported the dismissal citing a lack of ""concrete injuries"". Illinois state law requires companies to obtain explicit permission from people to make biometric scans of their bodies.",us judge dismisses face recognition tech suit google us judge dismissed lawsuit alleged google violated illinois state law using facial recognition technology google photos collect users biometric data without permission judge supported dismissal citing lack concrete injuries illinois state law requires companies obtain explicit permission people make biometric scans bodies
NY Police to use drone for 1st time to monitor Times Square,"Police will deploy a camera-equipped drone above New York City's Times Square on New Year's Eve for surveillance purposes. The machine will be used along with ""counter-drone technology"" to block other devices from the area. Police vehicles and helicopters will also be deployed to secure the premises, where there are reportedly expected to be two million people.",technology,"NY Police to use drone for 1st time to monitor Times Square. Police will deploy a camera-equipped drone above New York City's Times Square on New Year's Eve for surveillance purposes. The machine will be used along with ""counter-drone technology"" to block other devices from the area. Police vehicles and helicopters will also be deployed to secure the premises, where there are reportedly expected to be two million people.",ny police use drone st time monitor times square police deploy cameraequipped drone new york citys times square new years eve surveillance purposes machine used along counterdrone technology block devices area police vehicles helicopters also deployed secure premises reportedly expected two million people
MIT scientists develop new 3D-printing system for glass,"MIT scientists have developed a new system, G3DP2, for 3D-printing transparent glass on an industrial scale. The system consists of two parts including a closed, heated box which holds  molten glass, and another thermally controlled box where it prints the object. The scientists were able to convert molten glass into 3-metre-tall columns using the system.",technology,"MIT scientists develop new 3D-printing system for glass. MIT scientists have developed a new system, G3DP2, for 3D-printing transparent glass on an industrial scale. The system consists of two parts including a closed, heated box which holds  molten glass, and another thermally controlled box where it prints the object. The scientists were able to convert molten glass into 3-metre-tall columns using the system.",mit scientists develop new dprinting system glass mit scientists developed new system gdp dprinting transparent glass industrial scale system consists two parts including closed heated box holds molten glass another thermally controlled box prints object scientists able convert molten glass metretall columns using system
Twitter still vulnerable: Security firm which had hacked it,"UK-based cybersecurity firm Insinia Security, which had recently hacked Twitter accounts of some celebrities to highlight a security flaw, has said users' accounts are still vulnerable to attacks. This comes after the microblogging platform had claimed it had fixed the flaw. The flaw could be used to ""spread fake news and disinformation via influential celebrities and journalists,"" Insinia said.",technology,"Twitter still vulnerable: Security firm which had hacked it. UK-based cybersecurity firm Insinia Security, which had recently hacked Twitter accounts of some celebrities to highlight a security flaw, has said users' accounts are still vulnerable to attacks. This comes after the microblogging platform had claimed it had fixed the flaw. The flaw could be used to ""spread fake news and disinformation via influential celebrities and journalists,"" Insinia said.",twitter still vulnerable security firm hacked ukbased cybersecurity firm insinia security recently hacked twitter accounts celebrities highlight security flaw said users accounts still vulnerable attacks comes microblogging platform claimed fixed flaw flaw could used spread fake news disinformation via influential celebrities journalists insinia said
Ex-Google workers' AI startup to make people 'happy' at work,"Humu, an artificial intelligence (AI) startup by three former Google employees, claims to make people 'happy' at their jobs. The AI tool uses some of the people-analytics programmes developed by Google to study behavioural changes in an organisation's employees. It then uses emails and text messages to ‘nudge’ individual employees into small actions that advance the larger goal.",technology,"Ex-Google workers' AI startup to make people 'happy' at work. Humu, an artificial intelligence (AI) startup by three former Google employees, claims to make people 'happy' at their jobs. The AI tool uses some of the people-analytics programmes developed by Google to study behavioural changes in an organisation's employees. It then uses emails and text messages to ‘nudge’ individual employees into small actions that advance the larger goal.",exgoogle workers ai startup make people happy work humu artificial intelligence ai startup three former google employees claims make people happy jobs ai tool uses peopleanalytics programmes developed google study behavioural changes organisations employees uses emails text messages nudge individual employees small actions advance larger goal
No drone deployed for safety on New Year's due to rain: NYPD,"New York Police Department (NYPD) Chief said the department cancelled its plans to deploy camera-equipped drones on New Year's Eve ""due to rain and wind"", adding the ""safety of all those celebrating is paramount"". NYPD had earlier announced its plans to deploy the drones for the first time to monitor the ball drop celebrations in the city's Times Square.",technology,"No drone deployed for safety on New Year's due to rain: NYPD. New York Police Department (NYPD) Chief said the department cancelled its plans to deploy camera-equipped drones on New Year's Eve ""due to rain and wind"", adding the ""safety of all those celebrating is paramount"". NYPD had earlier announced its plans to deploy the drones for the first time to monitor the ball drop celebrations in the city's Times Square.",no drone deployed safety new years due rain nypd new york police department nypd chief said department cancelled plans deploy cameraequipped drones new years eve due rain wind adding safety celebrating paramount nypd earlier announced plans deploy drones first time monitor ball drop celebrations citys times square
CBI requests scan of social media photos to track suspects ,"CBI issued a notice requesting social media platforms like Facebook and Twitter to use Microsoft-owned technology PhotoDNA to scan photos in order to track suspects for investigative purposes. PhotoDNA creates a digital signature of an image, scans it against other photos on the internet and flags related images. It is a free technology exclusively used in child exploitation cases.",technology,"CBI requests scan of social media photos to track suspects . CBI issued a notice requesting social media platforms like Facebook and Twitter to use Microsoft-owned technology PhotoDNA to scan photos in order to track suspects for investigative purposes. PhotoDNA creates a digital signature of an image, scans it against other photos on the internet and flags related images. It is a free technology exclusively used in child exploitation cases.",cbi requests scan social media photos track suspects cbi issued notice requesting social media platforms like facebook twitter use microsoftowned technology photodna scan photos order track suspects investigative purposes photodna creates digital signature image scans photos internet flags related images free technology exclusively used child exploitation cases
Android Co-founder Andy Rubin's Essential Phone discontinued,"Android Co-founder Andy Rubin-developed phone Essential Phone or Essential PH-1, which debuted last year, has been discontinued. A company spokesperson said that all existing phones had been sold out and that the company wouldn't be replenishing its inventory. The company will provide software updates to its existing users and is working to create a new mobile product, the spokesperson added. ",technology,"Android Co-founder Andy Rubin's Essential Phone discontinued. Android Co-founder Andy Rubin-developed phone Essential Phone or Essential PH-1, which debuted last year, has been discontinued. A company spokesperson said that all existing phones had been sold out and that the company wouldn't be replenishing its inventory. The company will provide software updates to its existing users and is working to create a new mobile product, the spokesperson added. ",android cofounder andy rubins essential phone discontinued android cofounder andy rubindeveloped phone essential phone essential ph debuted last year discontinued company spokesperson said existing phones sold company would not replenishing inventory company provide software updates existing users working create new mobile product spokesperson added
No 'blanket power' to 10 agencies to snoop on computers: MHA,"A Ministry of Home Affairs (MHA) senior official has said that the government hasn't given any ""blanket power"" to ten agencies to intercept information from any computer. The official added that agencies must strictly adhere to existing rules in order to conduct such action. Earlier this month, MHA had sent a notification listing ten agencies authorised to intercept electronic communication.",technology,"No 'blanket power' to 10 agencies to snoop on computers: MHA. A Ministry of Home Affairs (MHA) senior official has said that the government hasn't given any ""blanket power"" to ten agencies to intercept information from any computer. The official added that agencies must strictly adhere to existing rules in order to conduct such action. Earlier this month, MHA had sent a notification listing ten agencies authorised to intercept electronic communication.",no blanket power agencies snoop computers mha ministry home affairs mha senior official said government not given blanket power ten agencies intercept information computer official added agencies must strictly adhere existing rules order conduct action earlier month mha sent notification listing ten agencies authorised intercept electronic communication
Cyber law to control tech firms comes into effect in Vietnam,"Vietnam's cybersecurity law, which tightens government control over technology and internet firms, came into effect on Tuesday. The new law requires internet firms to take down any content which the government deems ""toxic"" and directs companies like Google and Facebook to hand over user data on government request. The law had been approved by the government in June 2018.",technology,"Cyber law to control tech firms comes into effect in Vietnam. Vietnam's cybersecurity law, which tightens government control over technology and internet firms, came into effect on Tuesday. The new law requires internet firms to take down any content which the government deems ""toxic"" and directs companies like Google and Facebook to hand over user data on government request. The law had been approved by the government in June 2018.",cyber law control tech firms comes effect vietnam vietnams cybersecurity law tightens government control technology internet firms came effect tuesday new law requires internet firms take content government deems toxic directs companies like google facebook hand user data government request law approved government june
Chinese spacecraft 1st to land on face of Moon not seen from Earth,"The China National Space Administration's (CNSA) robotic probe, Chang'e 4 has become the first ever to land on face of the Moon not seen from the Earth, state-run media said. State broadcaster CCTV said the lunar explorer had touched down at 02:26 am GMT on Thursday. The mission aims to take detailed measurements of the Moon's terrain and mineral composition.",science,"Chinese spacecraft 1st to land on face of Moon not seen from Earth. The China National Space Administration's (CNSA) robotic probe, Chang'e 4 has become the first ever to land on face of the Moon not seen from the Earth, state-run media said. State broadcaster CCTV said the lunar explorer had touched down at 02:26 am GMT on Thursday. The mission aims to take detailed measurements of the Moon's terrain and mineral composition.",chinese spacecraft st land face moon not seen earth china national space administrations cnsa robotic probe change become first ever land face moon not seen earth staterun media said state broadcaster cctv said lunar explorer touched gmt thursday mission aims take detailed measurements moons terrain mineral composition
NASA probe conducts New Year flyby of farthest object ever,"NASA's New Horizons spacecraft conducted a New Year flyby of Ultima Thule, the farthest cosmic object ever explored by humans at over 6.4 billion kilometres. Real-time video of the flyby was not possible as signals take over 12 hours to cover the distance from the Earth and back. It reached around 3,500 kilometres from Thule, travelling at over 51,000 kmph.",science,"NASA probe conducts New Year flyby of farthest object ever. NASA's New Horizons spacecraft conducted a New Year flyby of Ultima Thule, the farthest cosmic object ever explored by humans at over 6.4 billion kilometres. Real-time video of the flyby was not possible as signals take over 12 hours to cover the distance from the Earth and back. It reached around 3,500 kilometres from Thule, travelling at over 51,000 kmph.",nasa probe conducts new year flyby farthest object ever nasas new horizons spacecraft conducted new year flyby ultima thule farthest cosmic object ever explored humans billion kilometres realtime video flyby not possible signals take hours cover distance earth back reached around kilometres thule travelling kmph
Seal pup with umbilical cord naps on plastic bottle at UK beach,"An amateur photographer named John Evered has taken a photo of a seal's newborn pup with its umbilical cord still attached to the stomach, taking a nap on a plastic bottle on a UK beach. ""There were hundreds of seals all over the beach,"" the photographer said. The grey seal is the largest of the species found in the UK. ",science,"Seal pup with umbilical cord naps on plastic bottle at UK beach. An amateur photographer named John Evered has taken a photo of a seal's newborn pup with its umbilical cord still attached to the stomach, taking a nap on a plastic bottle on a UK beach. ""There were hundreds of seals all over the beach,"" the photographer said. The grey seal is the largest of the species found in the UK. ",seal pup umbilical cord naps plastic bottle uk beach amateur photographer named john evered taken photo seals newborn pup umbilical cord still attached stomach taking nap plastic bottle uk beach hundreds seals beach photographer said grey seal largest species found uk
"₹10,000cr budget for sending 3 Indians to space for 7 days approved","The Cabinet on Friday approved a budget of ₹10,000 crore for sending three Indian astronauts to space for up to seven days by 2022 for the Gaganyaan Programme. Two unmanned flights and one manned flight will be undertaken as part of the programme. The programme will help India become the fourth nation to have a manned mission to space.",science,"₹10,000cr budget for sending 3 Indians to space for 7 days approved. The Cabinet on Friday approved a budget of ₹10,000 crore for sending three Indian astronauts to space for up to seven days by 2022 for the Gaganyaan Programme. Two unmanned flights and one manned flight will be undertaken as part of the programme. The programme will help India become the fourth nation to have a manned mission to space.",cr budget sending indians space days approved cabinet friday approved budget crore sending three indian astronauts space seven days gaganyaan programme two unmanned flights one manned flight undertaken part programme programme help india become fourth nation manned mission space
US scientist names beetles after 'Game of Thrones' dragons,"University of Nebraska-Lincoln Professor Brett Ratcliffe has named three newly-discovered beetle species after fictional dragons which appear in the HBO show 'Game of Thrones'. The species were named Drogoni, Rhaegali and Viserioni, which are Latin versions of Drogon, Rhaegal and Viserion. Drogoni and Viserioni can be found in Colombia and Ecuador, while Rhaegali is native to the French Guiana.",science,"US scientist names beetles after 'Game of Thrones' dragons. University of Nebraska-Lincoln Professor Brett Ratcliffe has named three newly-discovered beetle species after fictional dragons which appear in the HBO show 'Game of Thrones'. The species were named Drogoni, Rhaegali and Viserioni, which are Latin versions of Drogon, Rhaegal and Viserion. Drogoni and Viserioni can be found in Colombia and Ecuador, while Rhaegali is native to the French Guiana.",us scientist names beetles game thrones dragons university nebraskalincoln professor brett ratcliffe named three newlydiscovered beetle species fictional dragons appear hbo show game thrones species named drogoni rhaegali viserioni latin versions drogon rhaegal viserion drogoni viserioni found colombia ecuador rhaegali native french guiana
Israel scientists make drug to remove ageing cells in mice,"Scientists at Israel's Weizmann Institute of Science have created a drug which removes ageing cells from the bodies of mice. The drug, once injected, inhibits the function of certain proteins which help the ageing cells survive in mice bodies. On receiving the drug, the tissues of treated mice appeared to be much closer to that of younger mice.",science,"Israel scientists make drug to remove ageing cells in mice. Scientists at Israel's Weizmann Institute of Science have created a drug which removes ageing cells from the bodies of mice. The drug, once injected, inhibits the function of certain proteins which help the ageing cells survive in mice bodies. On receiving the drug, the tissues of treated mice appeared to be much closer to that of younger mice.",israel scientists make drug remove ageing cells mice scientists israels weizmann institute science created drug removes ageing cells bodies mice drug injected inhibits function certain proteins help ageing cells survive mice bodies receiving drug tissues treated mice appeared much closer younger mice
Scientists develop 'brain pacemaker' to treat Parkinson's,"University of California scientists have created a wireless device which works like a ""pacemaker for the brain"" and may help treat disorders like epilepsy and Parkinson's disease. The neurostimulator, called WAND, can monitor and stimulate the brain with electric current. The device is autonomous and can simultaneously stimulate and record electrical signals in the brain, researchers said.",science,"Scientists develop 'brain pacemaker' to treat Parkinson's. University of California scientists have created a wireless device which works like a ""pacemaker for the brain"" and may help treat disorders like epilepsy and Parkinson's disease. The neurostimulator, called WAND, can monitor and stimulate the brain with electric current. The device is autonomous and can simultaneously stimulate and record electrical signals in the brain, researchers said.",scientists develop brain pacemaker treat parkinsons university california scientists created wireless device works like pacemaker brain may help treat disorders like epilepsy parkinsons disease neurostimulator called wand monitor stimulate brain electric current device autonomous simultaneously stimulate record electrical signals brain researchers said
Harvard makes sensor to spot disability in premature babies,"Harvard University researchers have developed a soft, non-toxic wearable sensor to detect disabilities in premature babies. The sensor attaches to the hand and measures the force of a grasp and the motion of the hand and fingers. ""We have developed a new type of conductive liquid that is no more dangerous than a small drop of salt water,"" scientists said.",science,"Harvard makes sensor to spot disability in premature babies. Harvard University researchers have developed a soft, non-toxic wearable sensor to detect disabilities in premature babies. The sensor attaches to the hand and measures the force of a grasp and the motion of the hand and fingers. ""We have developed a new type of conductive liquid that is no more dangerous than a small drop of salt water,"" scientists said.",harvard makes sensor spot disability premature babies harvard university researchers developed soft nontoxic wearable sensor detect disabilities premature babies sensor attaches hand measures force grasp motion hand fingers developed new type conductive liquid no dangerous small drop salt water scientists said
ISRO plans to launch 32 space missions in 2019: Chairman,"Indian Space Research Organisation (ISRO) Chairman K Sivan said on Tuesday the organisation plans to launch 32 space missions in 2019. The planned missions include Chandrayaan-2, the ₹800-crore mission to land on Moon with lander and rover. India's first human space mission in 2021-22, Gaganyaan, will also be pursued this year, Sivan said in the New Year message to staff.",science,"ISRO plans to launch 32 space missions in 2019: Chairman. Indian Space Research Organisation (ISRO) Chairman K Sivan said on Tuesday the organisation plans to launch 32 space missions in 2019. The planned missions include Chandrayaan-2, the ₹800-crore mission to land on Moon with lander and rover. India's first human space mission in 2021-22, Gaganyaan, will also be pursued this year, Sivan said in the New Year message to staff.",isro plans launch space missions chairman indian space research organisation isro chairman k sivan said tuesday organisation plans launch space missions planned missions include chandrayaan crore mission land moon lander rover indias first human space mission gaganyaan also pursued year sivan said new year message staff
China's first cloned kitten likely to be born in March 2019,"China's first cloned kitten is expected to be born in March 2019, Beijing-based biotech company Sinogene's deputy general manager Zhao Jianping said. He revealed the clone will be produced with the same technique used to create world's first-ever mammal cloned from adult cells, sheep Dolly. The firm has created 10 cloned dogs so far, with 10 more being gestated currently.",science,"China's first cloned kitten likely to be born in March 2019. China's first cloned kitten is expected to be born in March 2019, Beijing-based biotech company Sinogene's deputy general manager Zhao Jianping said. He revealed the clone will be produced with the same technique used to create world's first-ever mammal cloned from adult cells, sheep Dolly. The firm has created 10 cloned dogs so far, with 10 more being gestated currently.",chinas first cloned kitten likely born march chinas first cloned kitten expected born march beijingbased biotech company sinogenes deputy general manager zhao jianping said revealed clone produced technique used create worlds firstever mammal cloned adult cells sheep dolly firm created cloned dogs far gestated currently
